eng,myn
Mr Tanaka is not a student.,မစ္စတာတာနာခါဟာ ကျောင်းသား မဟုတ်ပါဘူး။
My father is a teacher.,အဖေက ကျောင်းဆရာပါ။
There is no school.,ကျောင်းပိတ်တယ်။
It was sunny in Tokyo.,တိုကျိုမှာ နေသာတယ်။
There is a tree in the park.,ပန်းခြံမှာ သစ်ပင်တွေ ရှိတယ်။
Where is Mr Tanaka?,မစ္စတာတာနာခါ ဘယ်မှာ ရှိသလဲ။
I do not have any money.,ပိုက်ဆံ မရှိဘူး။
There is a book on the desk.,စာရေးခုံပေါ်မှာ စာအုပ် ရှိတယ်။
There is a bag under the desk.,စာရေးခုံအောက်မှာ လွယ်အိတ် ရှိတယ်။
There is a notebook in the bag.,အိတ်ထဲမှာ မှတ်စုစာအုပ် ရှိတယ်။
Mr Yamada is to the right of Mr Tanaka.,မစ္စတာတာနာခါရဲ့ ညာဘက်မှာ မစ္စတာယာမာဒါ ရှိတယ်။
Ms Kimura is to the left of Mr Tanaka.,မစ္စတာတာနာခါရဲ့ ဘယ်ဘက်မှာ မစ္စတာခိမုရ ရှိတယ်။
There is a cat in front of the house.,အိမ်ရဲ့ အရှေ့မှာ ကြောင် ရှိတယ်။
There is a car behind the house.,အိမ်ရဲ့ အနောက်ဘက်မှာ ကား ရှိတယ်။
The postbox is across the street from our house.,စာတိုက်ပုံးက အိမ်နဲ့ မျက်နှာချင်းဆိုင်မှာ ရှိတယ်။
Mr Yamada is outside the classroom.,မစ္စတာယာမာဒါက စာသင်ခန်းရဲ့ အပြင်မှာ ရှိတယ်။
There is a park in front of the house.,အိမ်ရဲ့ အရှေ့က ပန်းခြံပါ။
The school is near the house.,ကျောင်းက အိမ်နားမှာပါ။
The book is in the bag.,စာအုပ်က လွယ်အိတ်ထဲမှာပါ။
This is my pen.,ကျွန်တော့်ဘောပင်က ဒီဟာပါ။
Where is the Japanese classroom?,ဂျပန်စာစာသင်ခန်းက ဘယ်မှာလဲ။
When is that newspaper from?,အဲဒါ ဘယ်တုန်းက သတင်းစာလဲ။
There is a new computer in the classroom.,စာသင်ခန်းမှာ ကွန်ပျူတာအသစ် ရှိတယ်။
There is a small dog in the box.,သေတ္တာပုံးထဲမှာ ခွေးသေးသေးလေး ရှိတယ်။
Mr Tanaka is an energetic person.,မစ္စတာတာနာခါဟာ တက်တက်ကြွကြွရှိတဲ့လူ ဖြစ်တယ်။
What kind of film is it?,ဘယ်လိုရုပ်ရှင်မျိုးလဲ။
It's an old Japanese film.,ဂျပန်ရဲ့ ရုပ်ရှင်ကားဟောင်းပါ။
Which shoes are you going to buy?,ဘယ်လိုဖိနပ်မျိုးကို ဝယ်မလဲ။
That is the Japanese dictionary.,ဂျပန်စာအဘိဓာန်က အဲဒါပါ။
Mr Tanaka's bag is there.,မစ္စတာတာနာခါရဲ့ အိတ်က အဲဒီမှာ ရှိတယ်။
Our teacher is over there.,အဲဒီစာအုပ်က ကျွန်တော့်ဟာပါ။
That book is mine.,ဟိုမှာ ဆရာ ရှိတယ်။
That big bag is mine.,အဲဒီအိတ်ကြီးက ကျွန်တော့်ဟာပါ။
"Excuse me, where is the toilet?",တစ်ဆိတ်လောက် မေးပါရစေ၊ အိမ်သာက ဘယ်နားမှာပါလဲ။
Whose bag is that?,အဲဒီအိတ်က ဘယ်သူ့ဟာလဲ။
That is Mr Tanaka's.,အဲဒါ မစ္စတာတာနာခါရဲ့ ဥစ္စာပါ။
Where is the teacher's car?,ဆရာ့ကားက ဘယ်မှာလဲ။
